	_id	sameAs
168	dde_5b3ecfcd28d169eb	https://data.niaid.nih.gov/resources?id=gse158807
169	dde_60015fdb2a6c24c0	https://data.niaid.nih.gov/resources?id=msv000079154
170	dde_66bfb8fb013e84ef	https://data.niaid.nih.gov/resources?id=gse165673
171	dde_6a0231d53acfc5e6	https://data.niaid.nih.gov/resources?id=msv000079153
172	dde_6b342718fe0402b9	https://data.niaid.nih.gov/resources?id=gse106522
173	dde_727f74f4e2d7d16f	https://data.niaid.nih.gov/resources?id=prjna381938
174	dde_7c44c911ed001298	https://data.niaid.nih.gov/resources?id=prjna528754
175	dde_7d438989cbc43bc7	https://data.niaid.nih.gov/resources?id=gse86529
176	dde_817cd7c7560a2819	https://data.niaid.nih.gov/resources?id=gse69943
177	dde_82fed218f02aec99	https://data.niaid.nih.gov/resources?id=gse79216
178	dde_86a5402b818ab7df	https://data.niaid.nih.gov/resources?id=gse80058
179	dde_8a4e63452dd330fe	https://data.niaid.nih.gov/resources?id=prjna526511
180	dde_8b0d4d4ad599bd3f	https://data.niaid.nih.gov/resources?id=msv000081850
181	dde_8d959dd07cb1d027	https://data.niaid.nih.gov/resources?id=prjna595724
182	dde_912274c2f61b9ed1	https://data.niaid.nih.gov/resources?id=gse68380
183	dde_9a0b94ec6b3cb841	https://data.niaid.nih.gov/resources?id=msv000081041
184	dde_9de1ed37e06815dc	https://data.niaid.nih.gov/resources?id=gse135498
185	dde_a27ac3b51464ef98	https://data.niaid.nih.gov/resources?id=msv000081045
186	dde_a4234c07375889a5	https://data.niaid.nih.gov/resources?id=msv000080021
187	dde_ac6ca8270a2fe97c	https://data.niaid.nih.gov/resources?id=gse81909
188	dde_ae2878cc297b5961	https://data.niaid.nih.gov/resources?id=gse134238
189	dde_b1049acc7de49279	https://data.niaid.nih.gov/resources?id=msv000081782
190	dde_b254ed0f5d46c066	https://data.niaid.nih.gov/resources?id=msv000079206
191	dde_b34bdad184eb7441	https://data.niaid.nih.gov/resources?id=prjna526539
192	dde_b66878384c0b660f	https://data.niaid.nih.gov/resources?id=prjna633047
193	dde_b8f81cf5dc52f13b	https://data.niaid.nih.gov/resources?id=gse77193
194	dde_ba1a45e0d6c30a1f	https://data.niaid.nih.gov/resources?id=gse160767
195	dde_c34b19473faa5896	https://data.niaid.nih.gov/resources?id=gse125287
196	dde_c4821bb8ec9f3243	https://data.niaid.nih.gov/resources?id=gse69945
197	dde_c932cc715cba885b	https://data.niaid.nih.gov/resources?id=gse69944
198	dde_ef44725e2e3486a9	https://data.niaid.nih.gov/resources?id=msv000081846
199	dde_f274047d9951cada	https://data.niaid.nih.gov/resources?id=msv000080129
200	dde_f3e33b24ff1ca676	https://data.niaid.nih.gov/resources?id=prjna320462
201	dde_fc40fc844f81d901	https://data.niaid.nih.gov/resources?id=msv000081890
202	dde_fea35dfa911a81f9	https://data.niaid.nih.gov/resources?id=prjna638316
203	dde_ba31ae21d3350f49	https://data.niaid.nih.gov/resources?id=prjna595915
204	dde_bc3b92a26d44a8a4	https://data.niaid.nih.gov/resources?id=gse71200
205	dde_bc6759b7d16ed62e	https://data.niaid.nih.gov/resources?id=gse162620
206	dde_bd813a34e9c9140d	https://data.niaid.nih.gov/resources?id=gse184017
207	dde_c255c593738bfe56	https://data.niaid.nih.gov/resources?id=prjna521551
208	dde_cacb700d47ffb9c2	https://data.niaid.nih.gov/resources?id=msv000080897
